region,tech,step,year,SupplyCurve
14,1,3,2033,2.6
1,1,1,2033,2.08
1,1,2,2033,2.08
1,1,3,2033,2.08
15,1,1,2034,3.5
15,1,2,2034,3.5
15,1,3,2034,3.5
16,1,1,2034,2.88
16,1,2,2034,2.88
16,1,3,2034,2.88
20,1,1,2034,0.46
20,1,2,2034,0.46
20,1,3,2034,0.46
6,1,1,2034,2.39
6,1,2,2034,2.39
6,1,3,2034,2.39
17,1,1,2034,2.62
17,1,2,2034,2.62
17,1,3,2034,2.62
21,1,1,2034,0
21,1,2,2034,0
21,1,3,2034,0
23,1,1,2034,0.54
23,1,2,2034,0.54
23,1,3,2034,0.54
22,1,1,2034,0.02
22,1,2,2034,0.02
22,1,3,2034,0.02
24,1,1,2034,1.34
24,1,2,2034,1.34
24,1,3,2034,1.34
7,1,1,2034,0.15
7,1,2,2034,0.15
7,1,3,2034,0.15
10,1,1,2034,0.98
10,1,2,2034,0.98
10,1,3,2034,0.98
13,1,1,2034,0.31
13,1,2,2034,0.31
13,1,3,2034,0.31
2,1,1,2034,1.18
2,1,2,2034,1.18
2,1,3,2034,1.18
25,1,1,2034,1.73
25,1,2,2034,1.73
25,1,3,2034,1.73
4,1,1,2034,5.92
4,1,2,2034,5.92
4,1,3,2034,5.92
12,1,1,2034,0
12,1,2,2034,0
12,1,3,2034,0
3,1,1,2034,3.68
3,1,2,2034,3.68
3,1,3,2034,3.68
18,1,1,2034,2.38
18,1,2,2034,2.38
18,1,3,2034,2.38
11,1,1,2034,6.38
11,1,2,2034,6.38
11,1,3,2034,6.38
5,1,1,2034,0
5,1,2,2034,0
5,1,3,2034,0
19,1,1,2034,1.44
19,1,2,2034,1.44
19,1,3,2034,1.44
9,1,1,2034,0
9,1,2,2034,0
9,1,3,2034,0
8,1,1,2034,0
8,1,2,2034,0
8,1,3,2034,0
14,1,1,2034,2.47
14,1,2,2034,2.47
14,1,3,2034,2.47
1,1,1,2034,2.08
1,1,2,2034,2.08
1,1,3,2034,2.08
15,1,1,2035,3.5
15,1,2,2035,3.5
15,1,3,2035,3.5
16,1,1,2035,2.88
16,1,2,2035,2.88
16,1,3,2035,2.88
20,1,1,2035,0.46
20,1,2,2035,0.46
20,1,3,2035,0.46
6,1,1,2035,2.39
6,1,2,2035,2.39
6,1,3,2035,2.39
17,1,1,2035,2.62
17,1,2,2035,2.62
17,1,3,2035,2.62
21,1,1,2035,0
21,1,2,2035,0
21,1,3,2035,0
23,1,1,2035,0.54
23,1,2,2035,0.54
23,1,3,2035,0.54
22,1,1,2035,0.02
22,1,2,2035,0.02
22,1,3,2035,0.02
24,1,1,2035,1.34
24,1,2,2035,1.34
24,1,3,2035,1.34
7,1,1,2035,0.15
7,1,2,2035,0.15
7,1,3,2035,0.15
10,1,1,2035,0.98
10,1,2,2035,0.98
10,1,3,2035,0.98
13,1,1,2035,0.31
13,1,2,2035,0.31
13,1,3,2035,0.31
2,1,1,2035,1.18
2,1,2,2035,1.18
2,1,3,2035,1.18
25,1,1,2035,1.73
25,1,2,2035,1.73
25,1,3,2035,1.73
4,1,1,2035,5.92
4,1,2,2035,5.92
4,1,3,2035,5.92
12,1,1,2035,0
12,1,2,2035,0
12,1,3,2035,0
3,1,1,2035,3.68
3,1,2,2035,3.68
3,1,3,2035,3.68
18,1,1,2035,2.38
18,1,2,2035,2.38
18,1,3,2035,2.38
11,1,1,2035,6.38
11,1,2,2035,6.38
11,1,3,2035,6.38
5,1,1,2035,0
5,1,2,2035,0
5,1,3,2035,0
19,1,1,2035,1.44
19,1,2,2035,1.44
19,1,3,2035,1.44
9,1,1,2035,0
9,1,2,2035,0
9,1,3,2035,0
8,1,1,2035,0
8,1,2,2035,0
8,1,3,2035,0
14,1,1,2035,2.47
14,1,2,2035,2.47
14,1,3,2035,2.47
1,1,1,2035,2.08
1,1,2,2035,2.08
1,1,3,2035,2.08
15,1,1,2036,3.5
15,1,2,2036,3.5
15,1,3,2036,3.5
16,1,1,2036,2.88
16,1,2,2036,2.88
16,1,3,2036,2.88
20,1,1,2036,0.46
20,1,2,2036,0.46
20,1,3,2036,0.46
6,1,1,2036,2.39
6,1,2,2036,2.39
6,1,3,2036,2.39
17,1,1,2036,2.5
17,1,2,2036,2.5
17,1,3,2036,2.5
21,1,1,2036,0
21,1,2,2036,0
21,1,3,2036,0
23,1,1,2036,0.54
23,1,2,2036,0.54
23,1,3,2036,0.54
22,1,1,2036,0.02
22,1,2,2036,0.02
22,1,3,2036,0.02
24,1,1,2036,1.34
24,1,2,2036,1.34
24,1,3,2036,1.34
7,1,1,2036,0.15
7,1,2,2036,0.15
7,1,3,2036,0.15
10,1,1,2036,0.98
10,1,2,2036,0.98
10,1,3,2036,0.98
13,1,1,2036,0.31
13,1,2,2036,0.31
13,1,3,2036,0.31
2,1,1,2036,1.18
2,1,2,2036,1.18
2,1,3,2036,1.18
25,1,1,2036,1.42
25,1,2,2036,1.42
25,1,3,2036,1.42
4,1,1,2036,5.92
4,1,2,2036,5.92
4,1,3,2036,5.92
12,1,1,2036,0
12,1,2,2036,0
12,1,3,2036,0
3,1,1,2036,3.68
3,1,2,2036,3.68
3,1,3,2036,3.68
18,1,1,2036,2.38
18,1,2,2036,2.38
18,1,3,2036,2.38
11,1,1,2036,6.38
11,1,2,2036,6.38
11,1,3,2036,6.38
5,1,1,2036,0
5,1,2,2036,0
5,1,3,2036,0
19,1,1,2036,1.44
19,1,2,2036,1.44
19,1,3,2036,1.44
9,1,1,2036,0
9,1,2,2036,0
9,1,3,2036,0
8,1,1,2036,0
8,1,2,2036,0
8,1,3,2036,0
14,1,1,2036,2.47
14,1,2,2036,2.47
14,1,3,2036,2.47
1,1,1,2036,2.08
1,1,2,2036,2.08
1,1,3,2036,2.08
