region,region1,year,TranCost
2,16,2032,1
2,16,2033,1
2,16,2034,1
2,16,2035,1
2,16,2036,1
2,16,2037,1
2,16,2038,1
2,16,2039,1
2,16,2040,1
2,16,2041,1
2,16,2042,1
2,16,2043,1
2,16,2044,1
2,16,2045,1
2,16,2046,1
2,16,2047,1
2,16,2048,1
2,16,2049,1
2,16,2050,1
2,17,2023,1
2,17,2024,1
2,17,2025,1
2,17,2026,1
2,17,2027,1
2,17,2028,1
2,17,2029,1
2,17,2030,1
2,17,2031,1
2,17,2032,1
2,17,2033,1
2,17,2034,1
2,17,2035,1
2,17,2036,1
2,17,2037,1
2,17,2038,1
2,17,2039,1
2,17,2040,1
2,17,2041,1
2,17,2042,1
2,17,2043,1
2,17,2044,1
2,17,2045,1
2,17,2046,1
2,17,2047,1
2,17,2048,1
2,17,2049,1
2,17,2050,1
2,18,2023,1
2,18,2024,1
2,18,2025,1
2,18,2026,1
2,18,2027,1
2,18,2028,1
2,18,2029,1
2,18,2030,1
2,18,2031,1
2,18,2032,1
2,18,2033,1
2,18,2034,1
2,18,2035,1
2,18,2036,1
2,18,2037,1
2,18,2038,1
2,18,2039,1
2,18,2040,1
2,18,2041,1
2,18,2042,1
2,18,2043,1
2,18,2044,1
2,18,2045,1
2,18,2046,1
2,18,2047,1
2,18,2048,1
2,18,2049,1
2,18,2050,1
2,19,2023,1
2,19,2024,1
2,19,2025,1
2,19,2026,1
2,19,2027,1
2,19,2028,1
2,19,2029,1
2,19,2030,1
2,19,2031,1
2,19,2032,1
2,19,2033,1
2,19,2034,1
2,19,2035,1
2,19,2036,1
2,19,2037,1
2,19,2038,1
2,19,2039,1
2,19,2040,1
2,19,2041,1
2,19,2042,1
2,19,2043,1
2,19,2044,1
2,19,2045,1
2,19,2046,1
2,19,2047,1
2,19,2048,1
2,19,2049,1
2,19,2050,1
2,20,2023,1
2,20,2024,1
2,20,2025,1
2,20,2026,1
2,20,2027,1
2,20,2028,1
2,20,2029,1
2,20,2030,1
2,20,2031,1
2,20,2032,1
2,20,2033,1
2,20,2034,1
2,20,2035,1
2,20,2036,1
2,20,2037,1
2,20,2038,1
2,20,2039,1
2,20,2040,1
2,20,2041,1
2,20,2042,1
2,20,2043,1
2,20,2044,1
2,20,2045,1
2,20,2046,1
2,20,2047,1
2,20,2048,1
2,20,2049,1
2,20,2050,1
2,21,2023,1
2,21,2024,1
2,21,2025,1
2,21,2026,1
2,21,2027,1
2,21,2028,1
2,21,2029,1
2,21,2030,1
2,21,2031,1
2,21,2032,1
2,21,2033,1
2,21,2034,1
2,21,2035,1
2,21,2036,1
2,21,2037,1
2,21,2038,1
2,21,2039,1
2,21,2040,1
2,21,2041,1
2,21,2042,1
2,21,2043,1
2,21,2044,1
2,21,2045,1
2,21,2046,1
2,21,2047,1
2,21,2048,1
2,21,2049,1
2,21,2050,1
2,22,2023,1
2,22,2024,1
2,22,2025,1
2,22,2026,1
2,22,2027,1
2,22,2028,1
2,22,2029,1
2,22,2030,1
2,22,2031,1
2,22,2032,1
2,22,2033,1
2,22,2034,1
2,22,2035,1
2,22,2036,1
2,22,2037,1
2,22,2038,1
2,22,2039,1
2,22,2040,1
2,22,2041,1
2,22,2042,1
2,22,2043,1
2,22,2044,1
2,22,2045,1
2,22,2046,1
2,22,2047,1
2,22,2048,1
2,22,2049,1
2,22,2050,1
2,23,2023,1
2,23,2024,1
2,23,2025,1
2,23,2026,1
2,23,2027,1
2,23,2028,1
2,23,2029,1
2,23,2030,1
2,23,2031,1
2,23,2032,1
2,23,2033,1
2,23,2034,1
2,23,2035,1
2,23,2036,1
2,23,2037,1
2,23,2038,1
2,23,2039,1
2,23,2040,1
2,23,2041,1
2,23,2042,1
2,23,2043,1
2,23,2044,1
2,23,2045,1
2,23,2046,1
2,23,2047,1
2,23,2048,1
2,23,2049,1
2,23,2050,1
2,24,2023,1
2,24,2024,1
2,24,2025,1
2,24,2026,1
2,24,2027,1
2,24,2028,1
2,24,2029,1
2,24,2030,1
2,24,2031,1
2,24,2032,1
2,24,2033,1
2,24,2034,1
2,24,2035,1
2,24,2036,1
2,24,2037,1
2,24,2038,1
2,24,2039,1
2,24,2040,1
2,24,2041,1
2,24,2042,1
2,24,2043,1
2,24,2044,1
2,24,2045,1
2,24,2046,1
2,24,2047,1
2,24,2048,1
2,24,2049,1
2,24,2050,1
2,25,2023,1
2,25,2024,1
2,25,2025,1
2,25,2026,1
2,25,2027,1
2,25,2028,1
2,25,2029,1
2,25,2030,1
2,25,2031,1
2,25,2032,1
2,25,2033,1
2,25,2034,1
2,25,2035,1
2,25,2036,1
2,25,2037,1
2,25,2038,1
2,25,2039,1
2,25,2040,1
2,25,2041,1
2,25,2042,1
2,25,2043,1
2,25,2044,1
2,25,2045,1
2,25,2046,1
2,25,2047,1
2,25,2048,1
2,25,2049,1
2,25,2050,1
3,1,2023,1
3,1,2024,1
3,1,2025,1
3,1,2026,1
3,1,2027,1
3,1,2028,1
3,1,2029,1
3,1,2030,1
3,1,2031,1
3,1,2032,1
3,1,2033,1
3,1,2034,1
3,1,2035,1
3,1,2036,1
3,1,2037,1
3,1,2038,1
3,1,2039,1
3,1,2040,1
3,1,2041,1
3,1,2042,1
3,1,2043,1
3,1,2044,1
3,1,2045,1
3,1,2046,1
3,1,2047,1
3,1,2048,1
3,1,2049,1
3,1,2050,1
3,2,2023,1
3,2,2024,1
3,2,2025,1
3,2,2026,1
3,2,2027,1
3,2,2028,1
3,2,2029,1
3,2,2030,1
3,2,2031,1
3,2,2032,1
3,2,2033,1
3,2,2034,1
3,2,2035,1
3,2,2036,1
3,2,2037,1
3,2,2038,1
3,2,2039,1
3,2,2040,1
3,2,2041,1
3,2,2042,1
3,2,2043,1
3,2,2044,1
3,2,2045,1
3,2,2046,1
3,2,2047,1
3,2,2048,1
3,2,2049,1
3,2,2050,1
3,3,2023,1
3,3,2024,1
3,3,2025,1
3,3,2026,1
3,3,2027,1
3,3,2028,1
3,3,2029,1
3,3,2030,1
3,3,2031,1
3,3,2032,1
3,3,2033,1
3,3,2034,1
3,3,2035,1
3,3,2036,1
3,3,2037,1
3,3,2038,1
3,3,2039,1
3,3,2040,1
3,3,2041,1
3,3,2042,1
3,3,2043,1
3,3,2044,1
3,3,2045,1
3,3,2046,1
3,3,2047,1
3,3,2048,1
3,3,2049,1
3,3,2050,1
3,4,2023,1
3,4,2024,1
3,4,2025,1
3,4,2026,1
3,4,2027,1
3,4,2028,1
3,4,2029,1
3,4,2030,1
3,4,2031,1
3,4,2032,1
3,4,2033,1
3,4,2034,1
3,4,2035,1
3,4,2036,1
3,4,2037,1
3,4,2038,1
3,4,2039,1
3,4,2040,1
3,4,2041,1
3,4,2042,1
3,4,2043,1
3,4,2044,1
3,4,2045,1
3,4,2046,1
3,4,2047,1
3,4,2048,1
3,4,2049,1
3,4,2050,1
3,5,2023,1
3,5,2024,1
3,5,2025,1
3,5,2026,1
3,5,2027,1
3,5,2028,1
3,5,2029,1
3,5,2030,1
3,5,2031,1
3,5,2032,1
3,5,2033,1
3,5,2034,1
3,5,2035,1
3,5,2036,1
3,5,2037,1
3,5,2038,1
3,5,2039,1
3,5,2040,1
3,5,2041,1
3,5,2042,1
3,5,2043,1
3,5,2044,1
3,5,2045,1
3,5,2046,1
3,5,2047,1
3,5,2048,1
3,5,2049,1
3,5,2050,1
3,6,2023,1
3,6,2024,1
3,6,2025,1
3,6,2026,1
3,6,2027,1
3,6,2028,1
3,6,2029,1
3,6,2030,1
