region,tech,year,step,CapCost
5,8,2025,1,2832000
5,8,2026,1,2773000
5,8,2027,1,2714000
5,8,2028,1,2655000
5,8,2029,1,2596000
5,8,2030,1,2537000
5,8,2031,1,2478000
5,8,2032,1,2419000
5,8,2033,1,2360000
5,8,2034,1,2301000
5,8,2035,1,2242000
5,8,2036,1,2183000
5,8,2037,1,2124000
5,8,2038,1,2065000
5,8,2039,1,2006000
5,8,2040,1,1947000
5,8,2041,1,1888000
5,8,2042,1,1829000
5,8,2043,1,1770000
5,8,2044,1,1711000
5,8,2045,1,1652000
5,8,2046,1,1593000
5,8,2047,1,1534000
5,8,2048,1,1475000
5,8,2049,1,1416000
5,8,2050,1,1357000
5,14,2023,1,1344000
5,14,2024,1,1317120
5,14,2025,1,1290240
5,14,2026,1,1263360
5,14,2027,1,1236480
5,14,2028,1,1209600
5,14,2029,1,1182720
5,14,2030,1,1155840
5,14,2031,1,1128960
5,14,2032,1,1102080
5,14,2033,1,1075200
5,14,2034,1,1048320
5,14,2035,1,1021440
5,14,2036,1,994560
5,14,2037,1,967680
5,14,2038,1,940800
5,14,2039,1,913920
5,14,2040,1,887040
5,14,2041,1,860160
5,14,2042,1,833280
5,14,2043,1,806400
5,14,2044,1,779520
5,14,2045,1,752640
5,14,2046,1,725760
5,14,2047,1,698880
5,14,2048,1,672000
5,14,2049,1,645120
5,14,2050,1,618240
5,15,2023,1,1361000
5,15,2024,1,1333780
5,15,2025,1,1306560
5,15,2026,1,1279340
5,15,2027,1,1252120
5,15,2028,1,1224900
5,15,2029,1,1197680
5,15,2030,1,1170460
5,15,2031,1,1143240
5,15,2032,1,1116020
5,15,2033,1,1088800
