plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
DoswellLimitedPartnership,52019,CT1,GEN7,52019-CT1-GEN7,VA,PJM,GasTurbine,12.6,170.0,PJM_DOM,0.7369559644
DoswellLimitedPartnership,52019,CT2,GEN8,52019-CT2-GEN8,VA,PJM,GasTurbine,12.21,170.0,PJM_DOM,0.7141454226
DoswellLimitedPartnership,52019,CT3,GEN9,52019-CT3-GEN9,VA,PJM,GasTurbine,12.1,170.0,PJM_DOM,0.7077116801
DartmouthPower,52026,1,GEN2,52026-1-GEN2,MA,ISONE,GasCombinedCycle,8.52,32.0,ISO-NE_WCMA,0.4983226045
DartmouthPower,52026,1,GEN1,52026-1-GEN1,MA,ISONE,GasCombinedCycle,8.52,45.0,ISO-NE_WCMA,0.4983226045
DartmouthPower,52026,2,GEN3,52026-2-GEN3,MA,ISONE,GasTurbine,10.81,24.7,ISO-NE_WCMA,0.6322614266
ElizabethRiverCombustionTurbineSta,52087,CT-1,GEN1,52087-CT-1-GEN1,VA,PJM,GasTurbine,11.98,129.6,PJM_DOM,0.7006930518
ElizabethRiverCombustionTurbineSta,52087,CT-2,GEN2,52087-CT-2-GEN2,VA,PJM,GasTurbine,11.98,129.6,PJM_DOM,0.7006930518
ElizabethRiverCombustionTurbineSta,52087,CT-3,GEN3,52087-CT-3-GEN3,VA,PJM,GasTurbine,11.98,129.6,PJM_DOM,0.7006930518
TexasCityCogeneration,52088,GT-A,GEN1,52088-GT-A-GEN1,TX,MISO,GasCombinedCycle,7.23,141.0,OTHER,0.422872351
TexasCityCogeneration,52088,GT-A,GEN2,52088-GT-A-GEN2,TX,MISO,GasCombinedCycle,7.23,103.0,OTHER,0.422872351
TexasCityCogeneration,52088,GT-B,GEN3,52088-GT-B-GEN3,TX,MISO,GasCombinedCycle,7.23,103.0,OTHER,0.422872351
TexasCityCogeneration,52088,GT-B,GEN1,52088-GT-B-GEN1,TX,MISO,GasCombinedCycle,7.23,141.0,OTHER,0.422872351
TexasCityCogeneration,52088,GT-C,GEN4,52088-GT-C-GEN4,TX,MISO,GasCombinedCycle,7.23,103.0,OTHER,0.422872351
TexasCityCogeneration,52088,GT-C,GEN1,52088-GT-C-GEN1,TX,MISO,GasCombinedCycle,7.23,141.0,OTHER,0.422872351
