
year,region_id,scenario_id,fuel,price_per_mmbtu
2025,SPP_AR,REF,COAL,2.2144
2025,SPP_AR,REF,DISTILLATE,13.5966
2025,SPP_AR,REF,RESIDUAL,9.1618
2025,SPP_AR,REF,URANIUM,0.61
2025,SPP_LA,REF,GAS,2.39
2025,SPP_LA,REF,COAL,2.2144
2025,SPP_LA,REF,DISTILLATE,13.5966
2025,SPP_LA,REF,RESIDUAL,9.1618
2025,SPP_LA,REF,URANIUM,0.61
2025,SPP_OK,REF,GAS,2.39
2025,SPP_OK,REF,COAL,2.2144
2025,SPP_OK,REF,DISTILLATE,13.5966
2025,SPP_OK,REF,RESIDUAL,9.1618
2025,SPP_OK,REF,URANIUM,0.61
2025,ONTARIO,REF,GAS,2.29
2025,ONTARIO,REF,COAL,2.2144
2025,ONTARIO,REF,DISTILLATE,13.5966
2025,ONTARIO,REF,RESIDUAL,9.1618
2025,ONTARIO,REF,URANIUM,0.61
2025,QUEBEC,REF,GAS,2.29
2025,QUEBEC,REF,COAL,2.2144
2025,QUEBEC,REF,DISTILLATE,13.5966
2025,QUEBEC,REF,RESIDUAL,9.1618
2025,QUEBEC,REF,URANIUM,0.61
2025,MARITIMES,REF,GAS,2.29
2025,MARITIMES,REF,COAL,2.2144
2025,MARITIMES,REF,DISTILLATE,13.5966
2025,MARITIMES,REF,RESIDUAL,9.1618
2025,MARITIMES,REF,URANIUM,0.61
2025,CANADA_MARITIMES,REF,GAS,2.29
2025,CANADA_MARITIMES,REF,COAL,2.2144
2025,CANADA_MARITIMES,REF,DISTILLATE,13.5966
2025,CANADA_MARITIMES,REF,RESIDUAL,9.1618
2025,CANADA_MARITIMES,REF,URANIUM,0.61
2026,ISO-NE_CT,REF,GAS,3.1904
2026,ISO-NE_CT,REF,COAL,2.2459
2026,ISO-NE_CT,REF,DISTILLATE,13.7401
2026,ISO-NE_CT,REF,RESIDUAL,9.2585
2026,ISO-NE_CT,REF,URANIUM,0.61
