
Year,Region_ID,Scenario,Peak_Demand_MW
2040,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),8400.0
2041,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),8761.0
2042,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),9126.0
2043,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),9484.0
2044,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),9820.0
2045,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),10155.0
2046,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),10547.755546371032
2047,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),10955.701335893737
2048,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),11379.424867558608
2049,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),11819.536362511448
2050,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),12276.669642857138
2025,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2233.0
2026,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2241.0
2027,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2307.0
2028,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2412.0
2029,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2559.0
2030,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2725.0
2031,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2916.0
2032,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3131.0
2033,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3368.0
2034,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3622.0
2035,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3885.0
2036,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),4150.0
2037,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),4413.0
2038,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),4674.0
2039,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),4930.0
2040,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5162.0
2041,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5361.0
2042,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5530.0
2043,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5672.0
2044,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5791.0
2045,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5890.0
2046,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),6047.484357767575
2047,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),6209.179466458998
2048,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),6375.1979113722255
2049,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),6545.655288063845
2050,ISO-NE_ME,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),6720.670282836114
2025,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5676.0
2026,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5698.0
2027,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5723.0
2028,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5806.0
2029,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5886.0
2030,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),5969.0
2031,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6063.0
2032,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6163.0
2033,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6234.0
2034,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6320.0
2035,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6408.0
2036,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6502.0
2037,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6595.0
2038,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6698.0
2039,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6853.0
2040,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7139.0
2041,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7390.0
2042,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7623.0
2043,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7849.0
2044,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),8062.0
2045,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),8254.0
2046,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),8497.083402466396
2047,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),8747.32570250423
2048,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),9004.937732337823
2049,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),9270.136533279756
2050,ISO-NE_NEMA,ISO-NE 2025 Seasonal Peaks (Gross max across seasons) (extrapolated after 2045),9543.14553859084
2025,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2691.0
2026,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2703.0
2027,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2716.0
2028,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2744.0
2029,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2775.0
2030,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2807.0
2031,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2843.0
2032,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2882.0
2033,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2923.0
2034,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),2968.0
2035,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3008.0
2036,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3053.0
2037,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3103.0
2038,ISO-NE_NH,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),3160.0
